,srvc1
usr1,0.329
usr2,0.244
usr3,0.211
usr4,0.304
usr5,0.293
usr6,0.243
usr7,0.24
usr8,0.241
usr9,0.33
usr10,0.331
usr11,0.259
usr12,0.238
usr13,0.243
usr14,0.302
usr15,0.311
,0.295
,0.304
,0.254
,0.277
,0.254
,0.309
,0.262
,0.256
,0.254
,0.256
,0.326
,0.325
,0.335
,0.346
,0.39
,0.34
,0.365
,0.311
,0.338
,0.302
,0.321
,0.324
,0.279
,0.307
