,srvc4,srvc5
usr1,0.221,0.222
usr2,0.251,0.254
usr3,0.357,0.358
usr4,0.22,0.219
usr5,0.22,0.221
usr6,0.261,0.239
usr7,0.237,0.236
usr8,0.243,0.266
usr9,0.207,0.2
usr10,0.2,0.199
usr11,0.264,0.278
usr12,0.258,0.256
usr13,0.262,0.263
usr14,0.208,0.231
usr15,0.225,0.226
usr16,0.205,0.203
usr17,0.204,0.203
usr18,0.278,0.275
usr19,0.29,0.281
usr20,0.259,0.26
