,srvc1
usr1,0.239
usr2,0.197
usr3,0.218
usr4,0.232
usr5,0.232
usr6,0.231
usr7,0.174
usr8,0.177
usr9,0.247
usr10,0.259
usr11,0.177
usr12,0.186
usr13,0.184
usr14,0.241
usr15,0.248
usr16,0.233
usr17,0.231
usr18,0.19
usr19,0.189
usr20,0.192
