service 1,service 2,service 3,service 4,service 5,service 6,service 7,service 8,service 9,service 10
2,4,4,4,4,2,4,4,4,4
3,3,3,3,3,2,4,4,4,4
4,2,2,2,2,4,4,2,2,2
4,4,4,4,4,4,2,3,4,4
4,4,4,4,4,3,2,2,4,4
