s1,s2,s3,s4,s5
1,0.228,0.237,0.221,0.222
2,0.262,0.273,0.251,0.254
3,0.366,0.376,0.357,0.358
2,0.226,0.233,0.22,0.219
1,0.227,0.233,0.22,0.221
3,0.251,0.257,0.261,0.239
2,0.245,0.254,0.237,0.236
1,0.247,0.257,0.243,0.266
2,0.212,0.217,0.207,0.2
1,0.207,0.221,0.2,0.199
