service 1,service 2
108.5972850678733,108.1081081081081
95.61752988047807,94.48818897637796
67.22689075630252,67.0391061452514
109.09090909090908,109.58904109589041
109.09090909090908,108.5972850678733
91.95402298850574,100.418410041841
101.26582278481013,101.69491525423729
98.76543209876543,90.22556390977444
115.94202898550725,120.0
120.0,120.60301507537687
90.9090909090909,86.33093525179855
93.02325581395348,93.75
91.6030534351145,91.25475285171102
115.3846153846154,103.89610389610388
106.66666666666667,106.19469026548671
117.07317073170731,118.22660098522167
117.64705882352942,118.22660098522167
86.33093525179855,87.27272727272725
82.75862068965517,85.40925266903913
92.66409266409266,92.3076923076923
